Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,26,NEW,"전세계 초딩에게 트라우마 만든 게임...""로블록스 사형제도"" ㄷㄷ",279778,2025.12.06,"#혜안,#로블록스",혜안,"2,870,000",https://i.playboard.app/p/f7NJo7bEkaGaTeGFkEveKC9aC52HCvaDa6li7v3x_sDdAguKnt880AiF30qB0s_PqSwlTJc4Mg/100x100.jpg
일간,2025-12-08,video,한국,27,-7,"[마비노기] 현생 같은 판타지, 마비노기 | NEW LIFE Teaser",271039,2025.11.29,"#마비노기,#NEWLIFE",마비노기,"24,500",https://i.playboard.app/p/xT5oTmdL-NJj2Axb4Y5dIERZr9wou5ypBRo5f-VTkQgqVdBIzmN2KyCRKvH-EWejTA9c2UE-Lg/100x100.jpg
일간,2025-12-08,video,한국,28,NEW,"피넛식 인권탄압에 결국...""저티어도 사람입니다!"" 【SLL EP. 04】",269806,2025.12.07,"#스맵,#smeb",스맵,"230,000",https://i.playboard.app/p/JbjmEQuT24hk705Vt3tP-bOPN0Vhouou5QTHEB3uKoVldQOHiDnkavhtFrMOibHeCNRE2SUo/100x100.jpg
일간,2025-12-08,video,한국,29,NEW,4개의 시선 1부 | 2025 월드 챔피언십 다큐멘터리,263618,2025.12.06,#Worlds2025,LCK,"1,710,000",https://i.playboard.app/p/2HXwA6k1WLfPViUSiS72hlxAEKqut4sZORWcealHdCEq6s1pElmthl6SsyJ7jsBmtGkTeMX5Vg/100x100.jpg
일간,2025-12-08,video,한국,30,NEW,HLE vs BFX 하이라이트 | Group Stage Day1 M7 | 2025 LoL KeSPA CUP,258514,2025.12.06,"#KeSPACUP,#케스파컵",한국e스포츠협회,"96,300",https://i.playboard.app/p/djVowYBqnmeGQ7KNH40mvBQs8BKZPJnKPoRbfBaEjdNaI99LzU2nHnnlUoUMepew1EXjc1Up/100x100.jpg
일간,2025-12-08,video,한국,31,NEW,쥐네마리 식당,257367,2025.12.06,,이도원,"476,000",https://i.playboard.app/p/Y81c85Xj_HXEXM6aH9RYn2twlj51IGU2uTIJIFGz0EdaxvFHNpTVgSdy0Zy8hKSz9PWzjl_e7u0/100x100.jpg
일간,2025-12-08,video,한국,32,-7,[메이플 키우기] 글로벌 정식 출시!,250082,2025.11.06,"#메이플키우기,#글로벌정식출시",넥슨 YouTube,"163,000",https://i.playboard.app/p/bCvB352wWLYLNgDOur81pLmVROHQwjQsmc8YLoXX_DLPMiMUTAX5KroeS9zqv7gxYRH5rrvd/100x100.jpg
일간,2025-12-08,video,한국,33,NEW,"""이거 잘하면 우승일지도?"" 슬슬 녹아가는 냉동인간들 【SLL EP. 05】",242870,2025.12.07,"#스맵,#smeb",스맵,"230,000",https://i.playboard.app/p/JbjmEQuT24hk705Vt3tP-bOPN0Vhouou5QTHEB3uKoVldQOHiDnkavhtFrMOibHeCNRE2SUo/100x100.jpg
일간,2025-12-08,video,한국,34,NEW,600만원 현질로 레전드 영상 찍었다 에인션트 뽑았다 메이플 키우기 2화,228735,2025.12.07,"#모바일게임,#방치형게임",썩쏘TV,"516,000",https://i.playboard.app/p/AATXAJyUDwYL2JkCkYAlYpNHkk1zMaO-31SPbZE5qCkORQ/100x100.jpg
일간,2025-12-08,video,한국,35,NEW,스크림에서 칸을 벌벌 떨게 만드는 피넛,223291,2025.12.07,,튜브김민교,"774,000",https://i.playboard.app/p/AATXAJyLGOYXV0M5HgvxIDCbKBVtfUmOXNshzBTjlxaj1g/100x100.jpg
일간,2025-12-08,video,한국,36,+3,드디어 시작된 1군들의 대결.. 그냥 미쳤습니다 ㄷㄷㄷ (진짜 미침),218112,2025.12.06,"#롤,#lck",티모준위,"65,600",https://i.playboard.app/p/eVFr7GXfkrWN7XSuRdHjcLrX5c3SZHVaZfkAvblZiI9pt6VneShKU1R8_sx4x3HwbwmgwCYeGQ/100x100.jpg
일간,2025-12-08,video,한국,37,-11,『젤다무쌍 봉인 전기』 TVCM 【태초의 싸움】,214741,2025.11.01,#젤다무쌍봉인전기,한국닌텐도 공식 채널,"431,000",https://i.playboard.app/p/PkWnJYLg8HEfTtIF851wBZT1c6EEY6-RSaaiWnwrXyu2Gpu5RC4gyEJgSRJRT6TSVBGW1AXz/100x100.jpg
일간,2025-12-08,video,한국,38,NEW,MLBB | MALAYSIA vs CAMBODIA - GRAND FINAL | IESF WEC25 | DAY 5,214518,2025.12.08,"#IESF,#WorldEsports",IESF - International Esports Federation,"155,000",https://i.playboard.app/p/A87nY9EaNbGSEQ6Z0n3BFO3VNooN1iddPVfQxnH2LtRr3H2ybvOFDXG86O1DbvrhEy81BuQd0Q/100x100.jpg
일간,2025-12-08,video,한국,39,NEW,"""못난 아들이라서 미안해"" 멸망전 탈락 후 아버지와 통화하고 눈물을 터뜨리는 이상호..!【멸망전 완】",204593,2025.12.06,,이상호,"957,000",https://i.playboard.app/p/9bbd14a37bb9bec2266c63d4f3340723/100x100.jpg
