Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,72,+5,"Helping Cars to the Rescue! 🚑 Garbage Truck, Fire Truck, Ambulance Song | Nursery Rhymes & Kids Song",45075,2025.10.26,#HelpingCarsSong,Rainbow Rhyme Kids,"14,600",https://i.playboard.app/p/FoCBqfE8-uJee6LApLcHNWbgTg6U_EGjD_P59A2hxQAyM01dR81jROCRErsJZGFDzKuxdRt5/100x100.jpg
일간,2025-12-08,video,한국,73,NEW,썰그 레전드 오리지널 시리즈만 한방에 전부 모음집 /나는 빌런이다/참교육툰/영상툰/,44479,2025.12.07,"#영상툰,#사이다툰",썰푸는 그림쟁이툰,"837,000",https://i.playboard.app/p/X8rwCA4ju2wwyJmTBVcyIC1-w-jPY7qtJgtRY5MnvV2nvKCYxqREBab4jSnHP8cBudHdXXSiTw/100x100.jpg
일간,2025-12-08,video,한국,74,+102,달이 깨어났다 | 에피소드 9,44158,2025.11.01,"#space,#phobia",Mr. Friend,"793,000",https://i.playboard.app/p/IAMbdy89APhbIEot0CzjGzEh198pZDTRqk6yyuVkz4TYNz0pA6IytO_nhuzM6KIb8a7ZQAQQ/100x100.jpg
일간,2025-12-08,video,한국,75,+10,이거 한번씩 꼭 해봄 3,44101,2024.11.29,"#소맥거핀,#animation",소맥거핀,"10,500,000",https://i.playboard.app/p/yXdRLLF0xi4FE44iL57THArm0Mkon3HSc-VjeHw1PbSn_NLtqQhJZdqZ-7vNkWo2b9xadJ1GTQ/100x100.jpg
일간,2025-12-08,video,한국,76,-1,올즈 페어: 여신의 재판ㅣ체크메이트 예고편ㅣ디즈니+,43561,2025.11.27,"#디즈니플러스,#DisneyPlusKR",Disney Plus Korea 디즈니 플러스 코리아,"478,000",https://i.playboard.app/p/y8xDKfp1aHjwej33BIhVNcaJnHgKke2jB6bHkrrpckJO7SxyFvvDpPRbIwO0kxGcZOnAOHkCfQ/100x100.jpg
일간,2025-12-08,video,한국,77,-3,"""특"" 시리즈 몰아보기",43342,2025.01.27,"#소맥거핀,#animation",소맥거핀,"10,500,000",https://i.playboard.app/p/yXdRLLF0xi4FE44iL57THArm0Mkon3HSc-VjeHw1PbSn_NLtqQhJZdqZ-7vNkWo2b9xadJ1GTQ/100x100.jpg
일간,2025-12-08,video,한국,78,-14,[NEW✨] 하 잼놀 찾았다 | 씰룩 시즌2 | EP.14,42963,2025.11.21,"#sealook,#seal",씰룩 SEALOOK,"9,190,000",https://i.playboard.app/p/D9n0RdqIK0_CEU5epHdRmh9_WXDfmCkdvqHlp08AxtYvI8whc4lQceHbvkW9KfcSr3Wcju2IQJs/100x100.jpg
일간,2025-12-08,video,한국,79,-3,퍼시 잭슨과 올림포스의 신들 | 공식 예고편 | 디즈니+,42516,2025.11.20,"#퍼시잭슨과올림포스의신들,#PercyJacksonandtheOlympians",Disney Plus Korea 디즈니 플러스 코리아,"478,000",https://i.playboard.app/p/y8xDKfp1aHjwej33BIhVNcaJnHgKke2jB6bHkrrpckJO7SxyFvvDpPRbIwO0kxGcZOnAOHkCfQ/100x100.jpg
일간,2025-12-08,video,한국,80,NEW,[단편 영화] 타임슬립 1919: 일제강점기로 떨어진 대한민국 군대,42415,2025.12.07,"#타임슬립,#타임머신",AI박스,"6,110",https://i.playboard.app/p/a11CdStqolvMDS74SbP2_EfmiG8AM5xE_8arXWbnPkyTCeqRtN5_5eT7Txh5Vl9WBmOGs1fNVg/100x100.jpg
일간,2025-12-08,video,한국,81,+7,영화 속 칼잡이 랭킹 TOP 8 《역대 칼잡이 총정리》,42146,2025.12.05,,소개해주는 남자,"781,000",https://i.playboard.app/p/ttDU0xOwUko4-UC9t-DTyZq53vy6zLsDqS34rUseaDbStsxsxNBIFev7vUVNYMcMD4DIqD9Apg/100x100.jpg
일간,2025-12-08,video,한국,82,-41,"모범택시3 ≪중고차 사기편≫ 3-4화 떴따! 🔥 고급 침수차 10배로 팔아먹는 사기꾼 잡기 위해 '바보 호구' 연기로, 역으로 사기쳐서 포르쉐, 람보르기니, 페라리 구매",41984,2025.11.30,"#모범택시3,#이제훈",김시선,"2,110,000",https://i.playboard.app/p/miUhhoPMX-ypbmoL8DEbvyxW81LFjTyr7dgKv-WA3hItN6W1UrVpNCoDaTc3se-uOmUfttRs/100x100.jpg
일간,2025-12-08,video,한국,83,+18,[우리동네 특공대 UDT]🔥미경이 숨겨온 비밀이 밝혀진다.🔥,41322,2025.12.05,"#윤계상,#진선규",세모드ㆍ조회수 1227만회,"7,690",https://i.playboard.app/p/0Oe-hoY2xYM0_kkcG_yfu_6zz4A-09eFRABOB1xXOEyVjQW-q-MtabUDOz9WlzDIWss9K1HDjQ/100x100.jpg
일간,2025-12-08,video,한국,84,-45,(결말포함)노희경 작가의 불운의 명작 드라마🥹,41113,2025.12.03,"#영화리뷰결말포함,#드라마리뷰",쨉쨉라이트,"5,150",https://i.playboard.app/p/rotg9295coZ77h-bwHTsBYboL_bKNz_jveVDWk8APQZMErVh4Gsd9sMIkm_2bmmhQMu5tE3-/100x100.jpg
일간,2025-12-08,video,한국,85,-33,⭐️슈팅스타 캐치! 티니핑⭐️ 4화 본편 | 빛을 나눠줘 나눔핑,40773,2025.12.05,"#슈팅스타캐치티니핑,#티니핑시즌5",티니핑TV,"1,800,000",https://i.playboard.app/p/hoS8DqOxdnXMUX-Z0hTqIgSK6YdD64Z0VyMlFKkqC5G1g8hyVlg_MOm0LW9jbeh007AedWNMBw/100x100.jpg
일간,2025-12-08,video,한국,86,+22,상쾌함에 상쾌함을 더한  플러스화이트 프로,40202,2025.10.15,"#덴티스테,#박진영",덴티스테코리아,"3,350",https://i.playboard.app/p/53e17dd9149c7a2771359be406efca6b/100x100.jpg
일간,2025-12-08,video,한국,87,-8,이삿날 짜장면 먹방,40081,2024.11.15,"#소맥거핀,#animation",소맥거핀,"10,500,000",https://i.playboard.app/p/yXdRLLF0xi4FE44iL57THArm0Mkon3HSc-VjeHw1PbSn_NLtqQhJZdqZ-7vNkWo2b9xadJ1GTQ/100x100.jpg
