Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,91,NEW,"2026년 노인일자리, '이것' 모르면 1,000만원 손해! 하루 3시간 실내근무 신청법",38167,2025.12.06,"#노인일자리,#2026년노인일자리",엄빠챙김연구소,"1,770",https://i.playboard.app/p/uzf7Lus0D_XRE2C5RHy8zOPlPjVYhyIb_ntGSGCFO29TrffBx-7wNvTNUl9W1zOMOBbgVD2YgRg/100x100.jpg
일간,2025-12-08,video,한국,92,NEW,"한국 아파트 이상 징조 터졌다, 내년부터 부동산 싹다 뒤집힌다 (리치고 김기원 대표 풀버전)",38106,2025.12.06,,김작가 TV,"2,650,000",https://i.playboard.app/p/AATXAJyYHDRpJpkeUXenmROawddq6Qy_T5v7IFZPuasj/100x100.jpg
일간,2025-12-08,video,한국,93,+17,"고구마를 찌거나 삶지 마세요😃! 이렇게 드셔 보세요, 정말 간단하고 맛있어요👍! 고구마 레시피",37172,2025.12.03,"#요리,#맛있는요리",쿤키친 - Kun Kitchen,"81,900",https://i.playboard.app/p/d98305eb7124d084ac28ce05f42bb79b/100x100.jpg
일간,2025-12-08,video,한국,94,+4,Kpop Demon Hunters Baby Care Dice Game Book,36977,2025.11.30,"#99nightintheforest,#paperdiy",Pink Ping World,"2,270,000",https://i.playboard.app/p/74eb05fcc8e6f922879885e373530c8b/100x100.jpg
일간,2025-12-08,video,한국,95,NEW,코트 고민 이제 끝😇  종류별로 진짜 잘하는 브랜드만 딱! 걸러서 추천할게요.,36736,2025.12.06,"#패션,#코트",핏더사이즈,"755,000",https://i.playboard.app/p/AATXAJwZWL59RSjt8fsNGdf0K1zieYT67VOjKY7Mlntt/100x100.jpg
일간,2025-12-08,video,한국,96,+25,𝗣𝗟𝗔𝗬𝗟𝗜𝗦𝗧  장보는 길에 꺼내 먹는 플레이리스트,36675,2025.11.24,"#playlist,#플레이리스트",이마트 LIVE,"643,000",https://i.playboard.app/p/_9ZbG9CIHNU5wIHx5d7R16qt1qvhB9yyyisBLVn3Ux8-IZ6lwKpaNHYXFZcrMjG-aDp9duVWxg/100x100.jpg
일간,2025-12-08,video,한국,97,-23,이런 업체에 샷시 맡기면 큰일납니다!,36599,2025.09.19,,케스코TV,"15,500",https://i.playboard.app/p/C8Oueym0xTfjJCQP6BKVtAmedsqqa9vib1VREn3keDPcVP1CIsCyx0xXCotNGwYFOtRvxC8w_g/100x100.jpg
일간,2025-12-08,video,한국,98,NEW,이러니까 진짜 같이 사는 것 같네,36505,2025.12.07,"#아집트,#인테리어",kiu기우쌤,"1,610,000",https://i.playboard.app/p/AAUvwngNbbHMQk0VFjoH-2G9inarQn7eHnnJqmMFFboYaw/100x100.jpg
일간,2025-12-08,video,한국,99,-12,"웅진프리드라이프 [2025 브랜드 캠페인] 상조, 다시 탄생하다. 15초 TVC",36479,2025.11.20,,웅진프리드라이프,"41,700",https://i.playboard.app/p/1oHoWyRccvPQMWW_BCq2r6TqzU9FSA-80uz8kQdCciuyqlpMtfLM9ICg08MaTgES1hPrm7R8sA/100x100.jpg
일간,2025-12-08,video,한국,100,NEW,"[  외국인 선물 옵션 분석, 한국 증시 계속 오른다!  이번 주 돈 이 몰린 ETF 는  '이 것'  | 미래에셋자산운용 최창규 이사",36361,2025.12.07,#찐시황],815머니톡,"1,160,000",https://i.playboard.app/p/AKedOLR9W3O4H_7kHNGhLDKF2phqHqWEdFm7qIsOMK5uaA/100x100.jpg
