Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,81,NEW,불꽃 튀는 미새들의 한판승부 (SUB) (댓글 이벤트 중🎁) [쪼다-여미새 쪼],24504,2025.12.05,"#쪼다,#스케치코미디",빨리요,"90,000",https://i.playboard.app/p/I41bA_FNvFSF_X6cpyUwsOtTQP-3MkGptOOdZ19aGCF79sWPWvlI8Bp54vJ2YVV3iG8e3ZsNfA/100x100.jpg
일간,2025-12-08,video,한국,82,-38,좀 아파요,24475,2025.11.21,"#스케치코미디,#숏박스",숏박스,"3,700,000",https://i.playboard.app/p/zxq1JmbQt6HEzZP2fzSD-wImF4zdxaQ8nYYKf9cdO9DltO0F0KNEbziJkpGqE40fWoyKuEvlGQ/100x100.jpg
일간,2025-12-08,video,한국,83,NEW,"어도비 장중 5% 상승, 그 이유는ㅣ파월 금리결정 산타 소환하나?",24132,2025.12.08,"#바이킹,#박종훈",머니코믹스 Money Comics,"1,260,000",https://i.playboard.app/p/ZiHnOy7IalMsVBs7IQvQwj76D64owvasKTautJinTdhLh8UbXoPhlRe-iGTQLLAoGtJhLtWoIA/100x100.jpg
일간,2025-12-08,video,한국,84,-6,와 뜨거워,23535,2025.02.14,"#스케치코미디,#숏박스",숏박스,"3,700,000",https://i.playboard.app/p/zxq1JmbQt6HEzZP2fzSD-wImF4zdxaQ8nYYKf9cdO9DltO0F0KNEbziJkpGqE40fWoyKuEvlGQ/100x100.jpg
일간,2025-12-08,video,한국,85,NEW,제 여친이 분조장 같은데.. 못 헤어지는 이유가 있어요 (경악..),23154,2025.12.07,,조송,"338,000",https://i.playboard.app/p/8wGKb-zRzhp1FekK1I2Vi0lQqnctEknvTX2ycW4B0VKDJA6Dvy7X7HVsFmwSIcKHtYLoXjVbpPU/100x100.jpg
일간,2025-12-08,video,한국,86,NEW,태어나서 처음으로 머리 자르는중ㅋㅋㅋㅋㅋㅋ,23092,2025.12.07,#코너패밀리,코너Korner,"1,280,000",https://i.playboard.app/p/pQX0Rh_Bhpfb5K1ffCwRDCr2wzIV3SY5flZvCE6H-w33tcXi9klHpmINNjcEuGwiC-lMel3bRg/100x100.jpg
일간,2025-12-08,video,한국,87,+13,COLOR FOOD MUKBANG🔥 [Green🐸 • Pink🌸 • Blue🥶],22807,2025.04.12,"#asmr,#color",CuRe 구래,"32,500,000",https://i.playboard.app/p/ESeFH2AUcsxtnfxFOPxL3OBkZzpLmxF39-NAjXM5DiVj7qcVvL-2Wt6DINB0RjHAKzJdNEiJ/100x100.jpg
일간,2025-12-08,video,한국,88,+11,COLOR FOOD MUKBANG🔥 [Blue🦋 • Brown💩 • Green🐸],22787,2024.01.27,"#asmr,#color",CuRe 구래,"32,500,000",https://i.playboard.app/p/ESeFH2AUcsxtnfxFOPxL3OBkZzpLmxF39-NAjXM5DiVj7qcVvL-2Wt6DINB0RjHAKzJdNEiJ/100x100.jpg
일간,2025-12-08,video,한국,89,NEW,"나래,진웅,세호 다음은 대박 거물이네 l 대한아재협회",22723,2025.12.07,"#김현지,#조진웅",대한아재협회 (유야지),"61,100",https://i.playboard.app/p/EUrfA61bOYMd_u8EMNZm1guWSk--Mr20rvLqLOUgnyVDv1LlFqno7ZVxuQiGuB8EKVDIYXMgFg/100x100.jpg
일간,2025-12-08,video,한국,90,-6,회사 (HOISA) - ‘Good Goodbye’ 축하공연 [제1회 해용영화상 시상식] | ZZANGHO 251127 방송,22057,2025.11.27,"#화사,#박정민",짱호,"214,000",https://i.playboard.app/p/k0fMoB_7XjFiAHSGEa2mEEe10vR5uIhFKeWI9eD_5RhpycDTdDOo8C398uE6Os5XsBGVtrwChw/100x100.jpg
일간,2025-12-08,video,한국,91,-30,키즈카페 ㅋㅋㅋㅋㅋㅋ,21947,2025.12.05,"#키즈카페,#pov",한태수,"26,300",https://i.playboard.app/p/HUrQ4fKAJocBVZ12lSsSeSIsMJ6JsntyPV97nam3iyurlvkKAhl-GImQHPjL-mBZD9tbxGusQQ/100x100.jpg
일간,2025-12-08,video,한국,92,NEW,월드컵 조추첨 때문에 한국남친이랑 헤어진 멕시코녀,21713,2025.12.06,,코미꼬,"1,030,000",https://i.playboard.app/p/O5MTGaQKLkD_XPHWYLkp5za1pt6j34V4ELnTfQ_9ZHQSXLAZlSwHz2PQlq4xWKK4Knjp5t_pXA/100x100.jpg
일간,2025-12-08,video,한국,93,-50,※김수용 근황 최초 공개※ 송은이&김숙도 못 말리는 김수용의 매콤한 저승 드립🌶️[비밀보장 546회],21521,2025.12.03,,VIVO TV - 비보티비,"872,000",https://i.playboard.app/p/AATXAJyvuy1eKvwurqgPh5CRdH-zMi9XpZtcMuyl2979HQ/100x100.jpg
일간,2025-12-08,video,한국,94,+7,여름엔 에어컨 대신 물범 영상 틀어🧊ㅣ씰룩 SEALOOKㅣ여름 특집 물범 에피소드,21120,2023.07.24,"#seal,#sealook",씰룩 SEALOOK,"9,190,000",https://i.playboard.app/p/D9n0RdqIK0_CEU5epHdRmh9_WXDfmCkdvqHlp08AxtYvI8whc4lQceHbvkW9KfcSr3Wcju2IQJs/100x100.jpg
일간,2025-12-08,video,한국,95,NEW,촬영 도와달라는 강예빈한테 욕 10번 듣기 챌린지하기ㅋㅋㅋㅋㅋㅋ,20779,2025.12.07,,김동무,"68,700",https://i.playboard.app/p/RiTBFAJiXJsbE5zAU20eCx1cchfh2nBISEWv_p9PdyMvdpi3h1KjVpd9c_vgMEj9TmAeb0L3VQ/100x100.jpg
일간,2025-12-08,video,한국,96,NEW,요즘 2030이 결혼하지 않는 진짜 이유,20703,2025.12.06,"#뽀구미,#결혼",뽀구미,"678,000",https://i.playboard.app/p/1NvijEFq0YTxgJbIoEmHTWFifGDIsM161UM7N9QrbS-XqGn0XcfxP9_JtQUxWwKm4RBa52xBjtA/100x100.jpg
일간,2025-12-08,video,한국,97,-16,응 너 127년 꼬우면 항소해,20646,2025.07.17,"#코믹숏무비,#너덜트",너덜트,"2,180,000",https://i.playboard.app/p/15a76cbbba6a84973bc5839e1ac31bf0/100x100.jpg
일간,2025-12-08,video,한국,98,-34,"2025.12.06 장추자 라이브 - [추자, 오키, 공주]",20492,2025.12.07,"#토크,#먹방",장추자,"317,000",https://i.playboard.app/p/AsNVi9qOCd5LpjydCbJkYZAhYnGB0t6B6xyEVoyCtzom8kLLD7anNpFsphc76hiBLctjqK2qLQ/100x100.jpg
일간,2025-12-08,video,한국,99,-17,제주도 게하에서 관객이랑 사망토론ㅣ이상준쇼ㅣEP.31,20356,2025.12.05,"#이상준,#이상준쇼",이상준쇼,"153,000",https://i.playboard.app/p/Do4hZeAqwNTyRLmQ2ChV8ag3jBqjCN4NG4ND58c18e9OGJB0BTvLJuHn6aPCIyez2nAD001A/100x100.jpg
일간,2025-12-08,video,한국,100,-24,꿀잼,20101,2025.10.18,"#띱,#연애",띱 Deep,"2,080,000",https://i.playboard.app/p/Y3r0eeqgkFziHcflNnErI13tSnEqCnU3g03wxiVtFNuUWSVDYnSVWO-iGSl6SFGl6k8GP1DJSw/100x100.jpg
