Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,코메디,댓글 순위,52,NEW,오늘 네일을하러 가야되요,157,2026.06.13,"#shorts,#비숑프리제",YEJIN CONTENTS,"26,600",https://img.youtube.com/vi/kDKUGAdkoz4/mqdefault.jpg,kDKUGAdkoz4
일간,2026-06-14,shorts,한국,코메디,댓글 순위,53,-16,윙이 비트박스하면서 실수 안(?) 하는 이유,156,2026.06.11,"#꼰대희,#윙",1분순삭,"436,000",https://img.youtube.com/vi/pHKdNXImx8A/mqdefault.jpg,pHKdNXImx8A
일간,2026-06-14,shorts,한국,코메디,댓글 순위,54,-6,어느 문을 고르시겠습니까?,153,2026.06.12,"#웃긴영상,#웃긴짤",크레이튼,"61,800",https://img.youtube.com/vi/TNeWmlGzyiY/mqdefault.jpg,TNeWmlGzyiY
일간,2026-06-14,shorts,한국,코메디,댓글 순위,55,-31,대통령이 화가 난 이유. 분열로 패배한 선거,151,2026.06.13,"#뉴스,#시사",이동형TV,"803,000",https://img.youtube.com/vi/8R_CibXimo0/mqdefault.jpg,8R_CibXimo0
일간,2026-06-14,shorts,한국,코메디,댓글 순위,56,-24,한국인들에게 복수하는 이탈리아인ㅋㅋㅋㅋ,151,2026.06.11,"#한국,#이탈리아",해외유머갤러리,"42,800",https://img.youtube.com/vi/BRUcYkWYsyY/mqdefault.jpg,BRUcYkWYsyY
일간,2026-06-14,shorts,한국,코메디,댓글 순위,57,NEW,국대 축구 승리에 200만 원 베팅한 외국인 반응 ㅋㅋㅋ,149,2026.06.14,"#월드컵,#유머",해외유머갤러리,"42,800",https://img.youtube.com/vi/SSaZTThN03g/mqdefault.jpg,SSaZTThN03g
일간,2026-06-14,shorts,한국,코메디,댓글 순위,58,NEW,역대급 똑똑한 앵무새들 TOP6,148,2026.06.13,,별별쇼츠,"18,100",https://img.youtube.com/vi/Yb_ZAtIXqjs/mqdefault.jpg,Yb_ZAtIXqjs
일간,2026-06-14,shorts,한국,코메디,댓글 순위,59,NEW,인권은 이제 제 겁니다,148,2026.06.13,#웃긴영상,코테고리,"345,000",https://img.youtube.com/vi/oWBivU37zfA/mqdefault.jpg,oWBivU37zfA
일간,2026-06-14,shorts,한국,코메디,댓글 순위,60,NEW,조회수 900만회 터진 종현이 밈 ㅋㅋㅋ,147,2026.06.13,"#웃음참기,#웃긴영상",벙구,"663,000",https://img.youtube.com/vi/F4XhvJD8Sck/mqdefault.jpg,F4XhvJD8Sck
일간,2026-06-14,shorts,한국,코메디,댓글 순위,61,NEW,직업 RPG 좀비 사냥!,143,2026.06.14,,김동희 세계관,"727,000",https://img.youtube.com/vi/Z5Ezj5Ta-oM/mqdefault.jpg,Z5Ezj5Ta-oM
일간,2026-06-14,shorts,한국,코메디,댓글 순위,62,+27,계획적인 더블킬을 해버린 남자,142,2026.06.08,,땅콩music,"154,000",https://img.youtube.com/vi/ZWsAgjfaPPo/mqdefault.jpg,ZWsAgjfaPPo
