Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,전체,댓글 순위,36,NEW,ain’t the same 💅,1200,2026.06.14,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"12,300,000",https://img.youtube.com/vi/V1zfPh52yfA/mqdefault.jpg,V1zfPh52yfA
일간,2026-06-14,shorts,한국,전체,댓글 순위,37,NEW,5꽉끝 패배에 정신없는 쵸비...,1200,2026.06.14,,숭배하라,"64,800",https://img.youtube.com/vi/O37sqEf0vA8/mqdefault.jpg,O37sqEf0vA8
일간,2026-06-14,shorts,한국,전체,댓글 순위,38,NEW,"광주에서 투표용지가 모자랐으면 어땠을까, 50초 안에 설명하기",1200,2026.06.14,,꽉TV,"1,260,000",https://img.youtube.com/vi/QuIvOdq0sTI/mqdefault.jpg,QuIvOdq0sTI
일간,2026-06-14,shorts,한국,전체,댓글 순위,39,-6,내란 뜻도 모르면서 중학생한테 탈탈 털리는 좌파아줌마,1200,2026.06.13,"#이재명,#민주당",우파보이스,"119,000",https://img.youtube.com/vi/8_g8yPSF-Jc/mqdefault.jpg,8_g8yPSF-Jc
일간,2026-06-14,shorts,한국,전체,댓글 순위,40,NEW,기자 앞에서 화난 시민들... 무슨 일?,1200,2026.06.14,,HOT이슈,"127,000",https://img.youtube.com/vi/obeRZvwZntI/mqdefault.jpg,obeRZvwZntI
일간,2026-06-14,shorts,한국,전체,댓글 순위,41,NEW,승리 가자!⚾,1200,2026.06.14,"#LG트윈스,#LGTWINS",ENHYPEN,"13,900,000",https://img.youtube.com/vi/DdDwe_NXPr4/mqdefault.jpg,DdDwe_NXPr4
일간,2026-06-14,shorts,한국,전체,댓글 순위,42,NEW,"(속보) ""선관위 실권자는 노태악이 아니라..."", 나경원 충격 폭로 발칵",1200,2026.06.14,"#정치,#이슈",우팔롬아,"339,000",https://img.youtube.com/vi/M3xHSP1rUt4/mqdefault.jpg,M3xHSP1rUt4
일간,2026-06-14,shorts,한국,전체,댓글 순위,43,NEW,"""이런건 처음 봐!"" 현장 모두 경악한 정청래의 만행",1200,2026.06.13,,애국청년김태풍,"433,000",https://img.youtube.com/vi/m1wtpuw5ziU/mqdefault.jpg,m1wtpuw5ziU
일간,2026-06-14,shorts,한국,전체,댓글 순위,44,NEW,이제 애매한 태도는 끝내야 할 시간.. 대통령과 청와대를 향한 장인수의 직언!,1200,2026.06.13,"#shorts,#장인수",민주데이,"70,700",https://img.youtube.com/vi/QdNLEBt6A00/mqdefault.jpg,QdNLEBt6A00
일간,2026-06-14,shorts,한국,전체,댓글 순위,45,NEW,노무현 대통령님 서거 후 가장 힘든 날들이네요,1200,2026.06.14,,더얌마,"216,000",https://img.youtube.com/vi/-ZV28tBJ7VY/mqdefault.jpg,-ZV28tBJ7VY
일간,2026-06-14,shorts,한국,전체,댓글 순위,46,+111,캡틴 손흥민이 욕을 먹은 이유ㄷㄷ,1164,2026.06.13,"#손흥민,#월드컵",잼롱도르,"7,540",https://img.youtube.com/vi/0GnhKvCSFWA/mqdefault.jpg,0GnhKvCSFWA
일간,2026-06-14,shorts,한국,전체,댓글 순위,47,+66,9살 아들이 카이스트에 붙었지만 기뻐할 수 없었던 엄마,1100,2026.06.12,,울림톡톡,"302,000",https://img.youtube.com/vi/QtPPdYgynvs/mqdefault.jpg,QtPPdYgynvs
일간,2026-06-14,shorts,한국,전체,댓글 순위,48,NEW,잠실에 등장한 '붉은 레이저'의 정체,1100,2026.06.14,,뉴스팩트,"149,000",https://img.youtube.com/vi/S9VgQB9MM4Q/mqdefault.jpg,S9VgQB9MM4Q
일간,2026-06-14,shorts,한국,전체,댓글 순위,49,NEW,"(속보) 잠실항쟁, 긴급 행동지침 발표...",1100,2026.06.14,"#정치,#이슈",우팔롬아,"339,000",https://img.youtube.com/vi/u0bIE-LdJ-8/mqdefault.jpg,u0bIE-LdJ-8
