Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,게임,좋아요 순위,1,0,+1 Speed Keyboard Escape 33s👟,41111,2026.06.11,N/A,순록,"2,170,000",https://img.youtube.com/vi/btdfIryeHQ8/mqdefault.jpg,btdfIryeHQ8
일간,2026-06-14,shorts,한국,게임,좋아요 순위,2,4,見れば何年目かすぐ分かる,33711,2026.06.13,N/A,ちょい語,"77,900",https://img.youtube.com/vi/Tun2TNDq3MM/mqdefault.jpg,Tun2TNDq3MM
일간,2026-06-14,shorts,한국,게임,좋아요 순위,3,-1,[15] Frog Dissection Day 🐸 - Creepy Things | EMOTIA,33037,2026.05.12,N/A,계향쓰 GH'S,"27,700,000",https://img.youtube.com/vi/7URzcgnk3i0/mqdefault.jpg,7URzcgnk3i0
