Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,영화/애니메이션,좋아요 순위,2,NEW,Gen Alpha naming their kids,35471,2026.06.13,,Plan3,"2,670,000",https://img.youtube.com/vi/gCQ8yZyXqQw/mqdefault.jpg,gCQ8yZyXqQw
일간,2026-06-14,shorts,한국,영화/애니메이션,좋아요 순위,3,-1,엄마 까투리 | Shorts | 누가 내 케이크 먹었어?!,23919,2026.06.05,"#까투리,#katuri",엄마 까투리,"1,470,000",https://img.youtube.com/vi/HCLhEh1nSsE/mqdefault.jpg,HCLhEh1nSsE
일간,2026-06-14,shorts,한국,노하우/스타일,좋아요 순위,1,0,눈으로 보고도 못 믿는 순간들,106912,2026.05.24,,옥수수,"30,700",https://img.youtube.com/vi/Ww9V6cuCtGg/mqdefault.jpg,Ww9V6cuCtGg
일간,2026-06-14,shorts,한국,노하우/스타일,좋아요 순위,2,+3,1%의 재능을 씹어먹는 99%의 미친 노력 2탄,23615,2026.05.08,,살림아리,"45,000",https://img.youtube.com/vi/QKvZNC7h-Do/mqdefault.jpg,QKvZNC7h-Do
일간,2026-06-14,shorts,한국,노하우/스타일,좋아요 순위,3,0,그녀가 사나운소를잠재운 방법,20960,2026.05.12,"#투우,#황소",주주줍줍,"91,800",https://img.youtube.com/vi/J_IzgVHU33U/mqdefault.jpg,J_IzgVHU33U
일간,2026-06-14,shorts,한국,교육,좋아요 순위,1,+8,일본은 안전교육도 진심입니다,26844,2026.06.13,"#교통안전,#안전교육",지구촌픽,"112,000",https://img.youtube.com/vi/F2siA16Q0FY/mqdefault.jpg,F2siA16Q0FY
일간,2026-06-14,shorts,한국,교육,좋아요 순위,2,-1,알록달록한 워터볼! 💦🔴🟢🔵🟡 | Pop the Colorful Balls,25208,2026.02.11,"#리아차차,#shorts",리아차차 LiaChaCha - 인기동요,"557,000",https://img.youtube.com/vi/Fi1E25whE_M/mqdefault.jpg,Fi1E25whE_M
일간,2026-06-14,shorts,한국,교육,좋아요 순위,3,+5,[1분역사] 진짜 민주화 세력이 나타났다!,21402,2026.06.12,,홍익학당,"164,000",https://img.youtube.com/vi/tmxObZVvSLI/mqdefault.jpg,tmxObZVvSLI
일간,2026-06-14,shorts,한국,과학기술,좋아요 순위,1,0,"Gerçek Zeka, İnsanların Kendilerini Nasıl Ele Verdiğini Bilmektir:",7995,2026.06.10,"#zekagelişimi,#kişiselgelişim",비전학,"23,300",https://img.youtube.com/vi/Z2O1t_XeuN4/mqdefault.jpg,Z2O1t_XeuN4
일간,2026-06-14,shorts,한국,과학기술,좋아요 순위,2,0,경력직  지게차의 센스,5977,2026.06.05,,야가다,"16,600",https://img.youtube.com/vi/V88mdmgtAzU/mqdefault.jpg,V88mdmgtAzU
일간,2026-06-14,shorts,한국,과학기술,좋아요 순위,3,+21,곽범의 미쳐버린 창의력ㅋㅋㅋㅋㅋㅋㅋ,4577,2026.05.10,,잼픽스,"11,200",https://img.youtube.com/vi/Uyk3nAoeXf0/mqdefault.jpg,Uyk3nAoeXf0
